#  Table f125w.tab  Thu 17:43:23 03-Sep-2009

#      WAVELENGTH      THROUGHPUT
#       angstroms                

         8145.675     1.894391E-7
         8146.336     1.897394E-7
         8146.994     1.900378E-7
         8147.656     1.903385E-7
         8148.318     1.906392E-7
         8148.976     1.909380E-7
         8149.638     1.912390E-7
         8150.304     1.915420E-7
         8150.962     1.918411E-7
         8151.625     1.921425E-7
         8152.287     1.924437E-7
         8152.944     1.927431E-7
         8153.607     1.930449E-7
          8154.27     1.933465E-7
         8154.928     1.936462E-7
          8155.59     1.939481E-7
         8156.257     1.942521E-7
         8156.916     1.945521E-7
         8157.578     1.948543E-7
         8158.241     1.951567E-7
         8158.899     1.954570E-7
         8159.563     1.957596E-7
         8160.226     1.960622E-7
         8160.884     1.963627E-7
         8161.547     1.966655E-7
         8162.215     1.969707E-7
         8162.874     1.972717E-7
         8163.537     1.975747E-7
           8164.2     1.978781E-7
         8164.859     1.981793E-7
         8165.522     1.984828E-7
         8166.186     1.987862E-7
         8166.849     1.990900E-7
         8167.508     1.993917E-7
         8168.176     1.996976E-7
          8168.84     2.000017E-7
           8169.5     2.003037E-7
         8170.163     2.006078E-7
         8170.827     2.009122E-7
         8171.486     2.012144E-7
          8172.15     2.015190E-7
         8172.814     2.018235E-7
         8173.469     2.021239E-7
         8174.138     2.024310E-7
         8174.802     2.027358E-7
         8175.462     2.030387E-7
         8176.126     2.033440E-7
         8176.791     2.036490E-7
         8177.451     2.039525E-7
         8178.115     2.042578E-7
         8178.779     2.045632E-7
         8179.439     2.048668E-7
         8180.108     2.051747E-7
         8180.773     2.054805E-7
         8181.434     2.057846E-7
         8182.098     2.060906E-7
         8182.763     2.100934E-7
         8183.423     2.151448E-7
         8184.088     2.202349E-7
         8184.753     2.253266E-7
         8185.414     2.303823E-7
         8186.083     2.355141E-7
         8186.749     2.406100E-7
         8187.409     2.456737E-7
         8188.074     2.507723E-7
          8188.74     2.558762E-7
           8189.4     2.609440E-7
         8190.066     2.660508E-7
         8190.731     2.711589E-7
         8191.393     2.762349E-7
         8192.063     2.813795E-7
         8192.729     2.864957E-7
          8193.39     2.915759E-7
         8194.055     2.966873E-7
         8194.721     3.018079E-7
         8195.382     3.068922E-7
         8196.048     3.120155E-7
         8196.714     3.171402E-7
          8197.38     3.222665E-7
         8198.046     3.273941E-7
         8198.712     3.325232E-7
         8199.378     3.376537E-7
          8200.04     3.427552E-7
         8200.706     3.478838E-7
         8201.373     3.530213E-7
         8202.034     3.581149E-7
         8202.701     3.710218E-7
         8203.367     3.877236E-7
         8204.029     4.043315E-7
         8204.696     4.210661E-7
         8205.362     4.377805E-7
         8206.029     4.545238E-7
         8206.696     4.712713E-7
         8207.358     4.879001E-7
         8208.021     5.045334E-7
         8208.688     5.212935E-7
         8209.354     5.380579E-7
         8210.021     5.548264E-7
         8210.688     5.715993E-7
         8211.356     5.884011E-7
         8212.019     6.050597E-7
         8212.686     6.218455E-7
         8213.354     6.386599E-7
         8214.016     6.553310E-7
         8214.684     6.721542E-7
         8215.351     6.889570E-7
         8216.014     7.056653E-7
         8216.687     7.226241E-7
         8217.354     7.394395E-7
         8218.017     7.561608E-7
         8218.685     7.730093E-7
         8219.353     7.898625E-7
         8220.016     8.065964E-7
         8220.684     8.234579E-7
         8221.352     8.403236E-7
          8222.02     8.571936E-7
         8222.687     8.687737E-7
         8223.355     8.773830E-7
          8224.02     8.859439E-7
         8224.688     8.945574E-7
         8225.355     9.031736E-7
          8226.02     9.117409E-7
         8226.688     9.203735E-7
         8227.356     9.289959E-7
         8228.025     9.376330E-7
         8228.693     9.462599E-7
         8229.362     9.549012E-7
         8230.031     9.635428E-7
         8230.695     9.720798E-7
         8231.363     9.806681E-7
         8232.032     9.892706E-7
         8232.697     9.978240E-7
         8233.366     1.006429E-6
         8234.039     1.015086E-6
         8234.704     1.023643E-6
         8235.373     1.032252E-6
         8236.042     1.040863E-6
         8236.702     1.049362E-6
         8237.371     1.057975E-6
         8238.041     1.066603E-6
          8238.71     1.075219E-6
         8239.375     1.083785E-6
         8240.045     1.092417E-6
         8240.714     1.101037E-6
         8241.384     1.109671E-6
         8242.053     1.118294E-6
         8242.719     1.108605E-6
         8243.388     1.090305E-6
         8244.058     1.071974E-6
         8244.724     1.053748E-6
         8245.394     1.035412E-6
         8246.067     1.016966E-6
         8246.733     9.987308E-7
         8247.403     9.803857E-7
         8248.073     9.620379E-7
         8248.739     9.437941E-7
         8249.409     9.254404E-7
         8250.079     9.070836E-7
         8250.745     8.888310E-7
         8251.416     8.704415E-7
         8252.086     8.520760E-7
         8252.757     8.336807E-7
         8253.427     8.153092E-7
         8254.098     7.969082E-7
         8254.764     7.786378E-7
         8255.435     7.602306E-7
         8256.105     7.418205E-7
         8256.771     7.235413E-7
         8257.442     7.051256E-7
         8258.118     6.865724E-7
         8258.784     6.682848E-7
         8259.455     6.498599E-7
         8260.127     6.314053E-7
         8260.798     6.129742E-7
         8261.465     5.946478E-7
         8262.136     5.762111E-7
         8262.807     5.816912E-7
         8263.474     5.931187E-7
         8264.146     6.046316E-7
         8264.821     6.162131E-7
         8265.488     6.276458E-7
          8266.16     6.391642E-7
         8266.831     6.506676E-7
         8267.499     6.621226E-7
         8268.171     6.736462E-7
         8268.842     6.851554E-7
         8269.505     6.965317E-7
         8270.177     7.080613E-7
         8270.858     7.197603E-7
         8271.521     7.311256E-7
         8272.193     7.426774E-7
         8272.865     7.542141E-7
         8273.533     7.656857E-7
         8274.205     7.772261E-7
         8274.877     7.887681E-7
         8275.545     8.002452E-7
         8276.218     8.118081E-7
         8276.895     8.234394E-7
         8277.563     8.349223E-7
         8278.235     8.464904E-7
         8278.908     8.580608E-7
         8279.576     8.695487E-7
         8280.249     8.811224E-7
         8280.921     8.926815E-7
          8281.59     9.041918E-7
         8282.263     9.157711E-7
          8282.94     9.083099E-7
         8283.608     9.005666E-7
         8284.281     8.927655E-7
         8284.955     8.849522E-7
         8285.623     8.772051E-7
         8286.297     8.693892E-7
          8286.97     8.615833E-7
         8287.639     8.538212E-7
         8288.312     8.460128E-7
          8288.99     8.381350E-7
         8289.659     8.303694E-7
         8290.332     8.225569E-7
         8291.006     8.147321E-7
          8291.68     8.069059E-7
         8292.349     7.991351E-7
         8293.022     7.913063E-7
         8293.696     7.834764E-7
         8294.366     7.756906E-7
         8295.044     7.678125E-7
         8295.719     7.599674E-7
         8296.388     7.521891E-7
         8297.062     7.443529E-7
         8297.736     7.365040E-7
         8298.405     7.287220E-7
          8299.08     7.208704E-7
         8299.754     7.130288E-7
         8300.424     7.052320E-7
         8301.099     6.973767E-7
         8301.773     6.895202E-7
         8302.447     6.789909E-7
         8303.122     6.602244E-7
         8303.792     6.415908E-7
         8304.463     6.229269E-7
         8305.137     6.041787E-7
         8305.812     5.854001E-7
         8306.482     5.667273E-7
         8307.162     5.478072E-7
         8307.837     5.290195E-7
         8308.507     5.103649E-7
         8309.183     4.915442E-7
         8309.857     4.727474E-7
         8310.528     4.540568E-7
         8311.203     4.352542E-7
