#  Table f160w.tab  Thu 17:43:34 03-Sep-2009

#      WAVELENGTH      THROUGHPUT
#       angstroms                

            7999.              0.
         7999.649     2.770730E-6
         8000.294     5.717476E-5
         8000.944     5.717341E-5
         8001.595     5.717207E-5
         8002.245     5.717071E-5
         8002.895     5.716939E-5
         8003.545     5.716803E-5
         8004.191     5.716669E-5
         8004.841     5.716533E-5
         8005.492     5.716398E-5
         8006.138     5.716263E-5
         8006.789     5.716127E-5
         8007.439     5.715992E-5
          8008.09     5.715856E-5
          8008.74     5.715719E-5
         8009.391     5.715584E-5
         8010.038     5.715451E-5
         8010.688     5.715362E-5
         8011.339     5.715270E-5
         8011.986     5.715181E-5
         8012.637     5.715090E-5
         8013.288     5.715000E-5
         8013.939     5.714909E-5
         8014.585     5.714818E-5
         8015.237     5.714728E-5
         8015.888     5.714636E-5
         8016.535     5.714545E-5
         8017.187     5.714453E-5
         8017.838     5.714362E-5
         8018.485     5.714270E-5
         8019.136     5.714180E-5
         8019.792     5.714086E-5
         8020.439     5.714010E-5
         8021.091     5.713942E-5
         8021.743     5.713876E-5
          8022.39     5.713807E-5
         8023.042     5.713739E-5
         8023.694     5.713671E-5
         8024.342     5.713602E-5
         8024.994     5.713535E-5
          8025.65     5.713465E-5
         8026.298     5.713396E-5
          8026.95     5.713326E-5
         8027.602     5.713257E-5
          8028.25     5.713188E-5
         8028.902     5.713119E-5
         8029.555     5.713050E-5
         8030.203     5.712966E-5
         8030.855     5.712854E-5
         8031.512     5.712742E-5
          8032.16     5.712632E-5
         8032.813     5.712521E-5
         8033.465     5.712407E-5
         8034.114     5.712297E-5
         8034.767     5.712183E-5
         8035.419     5.712072E-5
         8036.068     5.711960E-5
         8036.721     5.711847E-5
         8037.378     5.711734E-5
         8038.027     5.711621E-5
          8038.68     5.711508E-5
         8039.333     5.711394E-5
         8039.982     5.711282E-5
         8040.635     5.711173E-5
         8041.289     5.711065E-5
         8041.938     5.710957E-5
         8042.591     5.710850E-5
         8043.249     5.710739E-5
         8043.898     5.710631E-5
