#  

#      WAVELENGTH      THROUGHPUT
#       angstroms                
4910.62 0.1904251773
4911.16 0.1905894971
4911.71 0.1907534422
4912.25 0.1909160685
4912.79 0.1910803524
4913.34 0.1912447989
4913.88 0.1914077951
4914.42 0.1915723968
4914.97 0.1917362695
4915.51 0.1919004886
4916.05 0.1920637551
4916.59 0.1922287066
4917.14 0.1923937429
4917.68 0.1925576029
4918.22 0.1927213102
4918.76 0.1928865336
4919.31 0.1930518281
4919.85 0.1932162081
4920.40 0.1933501424
4920.94 0.1934732219
4921.48 0.1935952985
4922.03 0.1937187385
4922.57 0.1938420170
4923.11 0.1939641604
4923.66 0.1940873389
4924.20 0.1942105927
4924.74 0.1943328951
4925.29 0.1944552591
4925.83 0.1945785802
4926.38 0.1947021083
4926.92 0.1948243548
4927.46 0.1949469001
4928.01 0.1950707196
4928.55 0.1951946144
4929.10 0.1953175431
4929.64 0.1954418787
4930.19 0.1955694524
4930.73 0.1957044043
4931.28 0.1958410959
4931.82 0.1959779975
4932.36 0.1961133939
4932.91 0.1962503861
4933.46 0.1963873243
4934.00 0.1965231131
4934.54 0.1966595607
4935.09 0.1967961658
4935.64 0.1969330608
4936.18 0.1970688581
4936.73 0.1972063057
4937.27 0.1973423382
4937.81 0.1974794273
4938.36 0.1976153253
4938.90 0.1977527826
4939.45 0.1978901730
4939.99 0.1980261468
4940.54 0.1979792365
4941.09 0.1979305540
4941.63 0.1978823029
4942.18 0.1978334043
4942.73 0.1977844900
4943.27 0.1977359674
4943.82 0.1976867843
4944.37 0.1976377304
4944.91 0.1975892012
4945.45 0.1975402865
4946.00 0.1974907229
4946.55 0.1974413685
4947.10 0.1973924995
4947.64 0.1973436150
4948.19 0.1972942135
4948.73 0.1972446637
4949.28 0.1971954945
4949.83 0.1971456751
4950.38 0.1973939466
4950.92 0.1977744221
4951.47 0.1981590153
4952.02 0.1985441924
4952.56 0.1989252765
4953.11 0.1993105738
4953.66 0.1996963627
4954.20 0.2000784671
4954.75 0.2004604651
4955.30 0.2008466395
4955.85 0.2012327496
4956.39 0.2016156357
4956.94 0.2019983228
4957.49 0.2023853230
4958.04 0.2027723113
4958.58 0.2031556087
4959.13 0.2035430363
4959.68 0.2039305449
4960.23 0.2042034795
4960.77 0.2043190055
4961.32 0.2044347273
4961.87 0.2045494797
4962.42 0.2046652943
4962.97 0.2047812224
4963.52 0.2048960359
4964.06 0.2050115097
4964.61 0.2051269524
4965.16 0.2052430970
4965.71 0.2053577133
4966.26 0.2054738991
4966.80 0.2055892067
4967.35 0.2057053409
4967.90 0.2058202245
4968.45 0.2059365858
4969.00 0.2060525130
4969.55 0.2061685122
4970.10 0.2063234402
4970.65 0.2066581986
4971.19 0.2069899341
4971.75 0.2073252440
4972.30 0.2076604884
4972.84 0.2079922428
4973.39 0.2083279042
4973.94 0.2086610050
4974.49 0.2089969395
4975.04 0.2093295255
4975.59 0.2096658773
4976.14 0.2100022987
4976.69 0.2103354626
4977.23 0.2106687877
4977.79 0.2110060174
4978.34 0.2113432318
4978.89 0.2116778301
4979.44 0.2120149886
4979.99 0.2123522673
4980.54 0.2124170240
4981.09 0.2124774279
4981.64 0.2125383566
4982.19 0.2125985209
4982.74 0.2126589493
4983.29 0.2127188500
4983.84 0.2127794386
4984.39 0.2128396779
4984.94 0.2129004694
4985.49 0.2129611252
4986.04 0.2130212957
4986.59 0.2130812449
4987.14 0.2131419252
4987.69 0.2132023337
4988.24 0.2132622566
4988.80 0.2133229614
4989.35 0.2133837678
4989.90 0.2134439951
4990.45 0.2136201004
4991.00 0.2138228151
4991.55 0.2140234869
4992.10 0.2142265608
4992.65 0.2144278209
4993.21 0.2146311103
4993.76 0.2148332396
4994.31 0.2150354943
4994.86 0.2152386728
4995.41 0.2154401293
4995.97 0.2156438975
4996.51 0.2158456698
4997.07 0.2160496109
4997.62 0.2162515987
4998.17 0.2164555257
4998.72 0.2166583769
4999.27 0.2168615985
4999.83 0.2170662496
5000.38 0.2172619143
5000.93 0.2174520153
5001.48 0.2176429451
5002.03 0.2178340489
5002.59 0.2180260692
5003.15 0.2182182203
5003.69 0.2184084614
5004.25 0.2186006867
5004.80 0.2187910012
5005.35 0.2189836254
5005.91 0.2191751751
5006.46 0.2193669491
5007.01 0.2195577353
5007.56 0.2197503706
5008.12 0.2199429935
5008.67 0.2201338464
5009.22 0.2203267310
5009.78 0.2205195152
5010.33 0.2206706252
5010.88 0.2207953642
5011.44 0.2209209581
5011.99 0.2210461607
5012.55 0.2211717056
5013.10 0.2212962079
5013.65 0.2214217532
5014.20 0.2215463935
5014.76 0.2216723092
5015.32 0.2217981534
5015.87 0.2219225787
5016.42 0.2220477716
5016.97 0.2221728432
5017.53 0.2222988707
5018.08 0.2224237600
5018.64 0.2225491800
5019.19 0.2226760652
5019.74 0.2228009272
5020.30 0.2228810776
5020.86 0.2229219274
5021.41 0.2229628747
5021.97 0.2230039589
5022.52 0.2230449186
5023.07 0.2230861536
5023.63 0.2231270658
5024.18 0.2231680312
5024.74 0.2232091335
5025.29 0.2232499232
5025.85 0.2232909439
5026.40 0.2233321510
5026.96 0.2233734167
5027.51 0.2234140771
5028.07 0.2234550129
5028.62 0.2234960516
5029.18 0.2235370940
5029.74 0.2235785112
5030.29 0.2236802215
5030.85 0.2238342584
5031.40 0.2239893543
5031.96 0.2241446673
5032.52 0.2243005195
5033.07 0.2244563065
5033.63 0.2246111460
5034.18 0.2247672735
5034.74 0.2249220762
5035.30 0.2250783558
5035.85 0.2252339155
5036.41 0.2253896926
5036.96 0.2255447539
5037.52 0.2257012886
5038.08 0.2258577582
5038.63 0.2260127621
5039.19 0.2261693840
5039.75 0.2263261295
5040.30 0.2263726573
5040.86 0.2263278242
5041.41 0.2262830205
5041.97 0.2262379137
5042.53 0.2261926026
5043.09 0.2261476675
5043.65 0.2261022758
5044.20 0.2260572603
5044.76 0.2260119815
5045.32 0.2259665927
5045.87 0.2259214813
5046.43 0.2258763048
5046.98 0.2258311576
5047.55 0.2257851846
5048.10 0.2257398722
5048.66 0.2256943951
5049.22 0.2256485092
5049.77 0.2256034339
5050.33 0.2256874252
5050.89 0.2258581629
5051.45 0.2260302908
5052.01 0.2262024512
5052.56 0.2263737584
5053.12 0.2265467403
5053.68 0.2267182468
5054.24 0.2268899298
5054.80 0.2270626762
5055.35 0.2272340504
5055.91 0.2274063486
5056.47 0.2275785847
5057.03 0.2277515111
5057.59 0.2279229650
5058.14 0.2280952038
5058.70 0.2282681785
5059.26 0.2284405770
5059.82 0.2286139011
5060.38 0.2285589097
5060.94 0.2283973926
5061.50 0.2282364068
5062.06 0.2280754295
5062.62 0.2279138831
5063.18 0.2277527739
5063.74 0.2275912444
5064.30 0.2274289107
5064.85 0.2272680170
5065.42 0.2271057402
5065.97 0.2269449541
5066.53 0.2267824049
5067.09 0.2266214420
5067.65 0.2264585254
5068.21 0.2262963815
5068.77 0.2261340513
5069.33 0.2259716351
5069.89 0.2258094119
5070.45 0.2258612952
5071.01 0.2259651481
5071.57 0.2260690629
5072.13 0.2261735589
5072.70 0.2262781172
5073.25 0.2263816658
5073.81 0.2264862146
5074.38 0.2265904067
5074.94 0.2266945213
5075.49 0.2267979942
5076.06 0.2269022331
5076.62 0.2270066347
5077.18 0.2271110092
5077.74 0.2272158205
5078.30 0.2273196206
5078.86 0.2274239973
5079.42 0.2275288613
5079.98 0.2276334184
