#  

#      WAVELENGTH      THROUGHPUT
#       angstroms                
4696.84 0.0412245742
4697.36 0.0416861000
4697.88 0.0421461620
4698.40 0.0426063594
4698.93 0.0430711529
4699.44 0.0435296431
4699.96 0.0439905384
4700.48 0.0443785638
4701.00 0.0447589848
4701.52 0.0451392674
4702.04 0.0455200822
4702.56 0.0459028133
4703.08 0.0462835735
4703.60 0.0466649192
4704.11 0.0470464273
4704.63 0.0474280887
4705.15 0.0478103101
4705.67 0.0481923756
4706.19 0.0485746299
4706.71 0.0489574254
4707.23 0.0493404378
4707.75 0.0497254401
4708.27 0.0501087766
4708.79 0.0504922688
4709.31 0.0508777431
4709.83 0.0512619667
4710.35 0.0516541629
4710.87 0.0520507376
4711.40 0.0524489990
4711.92 0.0528459759
4712.44 0.0532431538
4712.96 0.0536423723
4713.48 0.0540379804
4714.00 0.0544360084
4714.52 0.0548339906
4715.04 0.0552344149
4715.56 0.0556308439
4716.08 0.0560296946
4716.60 0.0564306802
4717.12 0.0568299814
4717.64 0.0572271492
4718.16 0.0576309138
4718.69 0.0580311292
4719.21 0.0584312021
4719.73 0.0588318388
4720.25 0.0592454132
4720.77 0.0596699096
4721.29 0.0600946220
4721.81 0.0605215818
4722.33 0.0609447614
4722.85 0.0613705944
4723.38 0.0617961975
4723.90 0.0622243989
4724.42 0.0626503554
4724.94 0.0630749364
4725.46 0.0635036379
4725.98 0.0639305794
4726.51 0.0643578747
4727.03 0.0647853730
4727.55 0.0652153901
4728.07 0.0656432159
4728.60 0.0660716881
4729.12 0.0665023930
4729.64 0.0669308163
4730.16 0.0673486804
4730.69 0.0677444580
4731.21 0.0681381626
4731.73 0.0685319967
4732.25 0.0689241898
4732.78 0.0693206557
4733.30 0.0697150379
4733.82 0.0701099276
4734.34 0.0705050741
4734.87 0.0709004628
4735.39 0.0712960106
4735.91 0.0716936213
4736.44 0.0720898876
4736.96 0.0724859585
4737.48 0.0728826355
4738.01 0.0732813688
4738.53 0.0736784396
4739.05 0.0740753235
4739.58 0.0744750078
4740.10 0.0748795659
4740.62 0.0753129364
4741.15 0.0757445145
4741.67 0.0761808196
4742.19 0.0766152687
4742.72 0.0770495561
4743.24 0.0774868001
4743.77 0.0779193345
4744.29 0.0783545253
4744.81 0.0787923816
4745.34 0.0792280886
4745.86 0.0796619745
4746.39 0.0801005146
4746.91 0.0805393180
4747.44 0.0809762111
4747.96 0.0814132616
4748.49 0.0818526790
4749.01 0.0822902471
4749.53 0.0827282920
4750.06 0.0831702359
4750.58 0.0836455587
4751.11 0.0841205935
4751.63 0.0845963000
4752.16 0.0850743952
4752.68 0.0855503970
4753.20 0.0860245353
4753.73 0.0865034569
4754.26 0.0869807289
4754.78 0.0874576854
4755.31 0.0879354130
4755.83 0.0884156582
4756.36 0.0888938592
4756.88 0.0893722712
4757.41 0.0898532292
4757.94 0.0903321870
4758.46 0.0908114073
4758.98 0.0912913037
4759.51 0.0917735691
4760.04 0.0922482207
4760.56 0.0926547856
4761.09 0.0930653468
4761.61 0.0934741058
4762.14 0.0938832005
4762.67 0.0942946707
4763.19 0.0947022084
4763.72 0.0951118544
4764.24 0.0955239467
4764.77 0.0959343044
4765.30 0.0963449288
4765.82 0.0967557307
4766.35 0.0971686239
4766.87 0.0975779562
4767.40 0.0979915622
4767.93 0.0984031639
4768.46 0.0988173256
4768.98 0.0992297295
4769.51 0.0996399488
4770.04 0.1000592870
4770.56 0.1005430180
4771.09 0.1010269425
4771.62 0.1015136458
4772.14 0.1019957721
4772.67 0.1024804561
4773.20 0.1029679889
4773.72 0.1034532613
4774.25 0.1039366293
4774.78 0.1044247455
4775.31 0.1049136147
4775.83 0.1053999993
4776.36 0.1058864212
4776.89 0.1063757858
4777.42 0.1068627755
4777.94 0.1073504065
4778.47 0.1078381650
4779.00 0.1083260955
4779.53 0.1088144887
4780.06 0.1093031887
4780.59 0.1097955289
4781.11 0.1102832079
4781.64 0.1107760285
4782.17 0.1112662906
4782.69 0.1117572185
4783.22 0.1122484311
4783.75 0.1127399284
4784.28 0.1132338171
4784.81 0.1137261769
4785.34 0.1142182369
4785.87 0.1147133643
4786.39 0.1152038208
4786.92 0.1156995850
4787.45 0.1161930130
4787.98 0.1166889012
4788.51 0.1171833484
4789.04 0.1176747814
4789.57 0.1181719997
4790.10 0.1186670998
4790.63 0.1191640343
4791.16 0.1196635465
4791.68 0.1201584679
4792.21 0.1206563507
4792.74 0.1211541611
4793.27 0.1216549995
4793.80 0.1221534728
4794.33 0.1226526171
4794.86 0.1231544068
4795.39 0.1236512660
4795.92 0.1241532710
4796.45 0.1246535630
4796.98 0.1251565021
4797.51 0.1256570095
4798.04 0.1261554805
4798.57 0.1266593084
4799.10 0.1271606508
4799.63 0.1276628457
4800.16 0.1281366372
4800.69 0.1285352935
4801.22 0.1289364509
4801.75 0.1293378734
4802.28 0.1297415023
4802.81 0.1301413343
4803.34 0.1305452248
4803.87 0.1309493188
4804.40 0.1313516191
4804.93 0.1317543647
4805.47 0.1321595265
4806.00 0.1325625614
4806.53 0.1329657444
4807.06 0.1333672484
4807.59 0.1337726373
4808.12 0.1341768251
4808.65 0.1345808909
4809.18 0.1349877647
4809.71 0.1353902364
4810.24 0.1358238377
4810.77 0.1362838910
4811.31 0.1367492827
