#  Table f606w.tab  Fri 18:03:48 18-Sep-2009

#      WAVELENGTH      THROUGHPUT
#       angstroms                

            3000.    2.086279E-37
         3000.376    1.827751E-14
         3000.753    3.666122E-14
         3001.127    5.494863E-14
         3001.503    7.337840E-14
         3001.882    9.202323E-14
         3002.258    1.105715E-13
         3002.632    1.291062E-13
          3003.01    1.478571E-13
         3003.385    1.665940E-13
         3003.761    1.853777E-13
         3004.139    2.043191E-13
         3004.513    2.231615E-13
         3004.889    2.421367E-13
         3005.269    2.613453E-13
         3005.645    2.804531E-13
          3006.02    2.995458E-13
         3006.398    3.188598E-13
         3006.774    3.381463E-13
          3007.15    3.575054E-13
         3007.528    3.770010E-13
         3007.903    3.963923E-13
          3008.28    4.159461E-13
          3008.66    4.357263E-13
         3009.036    4.553889E-13
         3009.411    4.750346E-13
          3009.79    4.949202E-13
         3010.166    5.151114E-13
         3010.543    5.358420E-13
         3010.922    5.567720E-13
         3011.297    5.776447E-13
         3011.674    5.987311E-13
         3012.054    6.201157E-13
         3012.431    6.414567E-13
         3012.807    6.628198E-13
         3013.185    6.844831E-13
         3013.562    7.061827E-13
          3013.94    7.280025E-13
         3014.319    7.500427E-13
         3014.694    7.720188E-13
         3015.072    7.942154E-13
         3015.452    8.167224E-13
          3015.83    8.391636E-13
         3016.206    8.616231E-13
         3016.585    8.844231E-13
         3016.962    9.072278E-13
          3017.34    9.301722E-13
         3017.719    9.533437E-13
         3018.096    9.764438E-13
         3018.473    9.997562E-13
         3018.854    1.023405E-12
         3019.232    1.046980E-12
         3019.609    1.070572E-12
         3019.988    1.094503E-12
         3020.366    1.118057E-12
         3020.744    1.141691E-12
         3021.124    1.165556E-12
         3021.501    1.189315E-12
         3021.879    1.213289E-12
          3022.26    1.237593E-12
         3022.639    1.261806E-12
         3023.016    1.286018E-12
         3023.396    1.310539E-12
         3023.774    1.335092E-12
         3024.153    1.359741E-12
         3024.533    1.384615E-12
          3024.91    1.409392E-12
         3025.288    1.434384E-12
          3025.67    1.459712E-12
         3026.049    1.484926E-12
         3026.426    1.510167E-12
         3026.807    1.535731E-12
         3027.186    1.561309E-12
         3027.564    1.587000E-12
         3027.945    1.612919E-12
         3028.323    1.638721E-12
         3028.702    1.664750E-12
         3029.084    1.691113E-12
         3029.463    1.717380E-12
         3029.841    1.743657E-12
         3030.222    1.770601E-12
         3030.601    1.797805E-12
          3030.98    1.825120E-12
         3031.361    1.852720E-12
         3031.739    1.880220E-12
         3032.119    1.907954E-12
         3032.501    1.936067E-12
         3032.881    1.964076E-12
         3033.259    1.992088E-12
          3033.64    2.020485E-12
          3034.02    2.048903E-12
           3034.4    2.077424E-12
         3034.781    2.106225E-12
          3035.16    2.134904E-12
          3035.54    2.163853E-12
         3035.923    2.193195E-12
         3036.303    2.222420E-12
         3036.681    2.251642E-12
         3037.063    2.281261E-12
         3037.443    2.310881E-12
         3037.823    2.340633E-12
         3038.206    2.370677E-12
         3038.584    2.400572E-12
         3038.964    2.430753E-12
         3039.348    2.461328E-12
         3039.729    2.491783E-12
         3040.107    2.521512E-12
          3040.49    2.549840E-12
          3040.87    2.578125E-12
         3041.251    2.606496E-12
         3041.633    2.635082E-12
         3042.012    2.663514E-12
         3042.393    2.692125E-12
         3042.776    2.720968E-12
         3043.158    2.749900E-12
         3043.537    2.778664E-12
          3043.92    2.807791E-12
         3044.301    2.836855E-12
         3044.682    2.866021E-12
         3045.065    2.895404E-12
         3045.445    2.924624E-12
         3045.826    2.954042E-12
          3046.21    2.983813E-12
         3046.592    3.013427E-12
         3046.971    3.042994E-12
         3047.354    3.072907E-12
         3047.736    3.102793E-12
         3048.117    3.132765E-12
           3048.5    3.162944E-12
          3048.88    3.192957E-12
         3049.262    3.223209E-12
         3049.646    3.253663E-12
         3050.029    3.284544E-12
         3050.409    3.319448E-12
         3050.792    3.354827E-12
         3051.174    3.390209E-12
         3051.556    3.425770E-12
          3051.94    3.461632E-12
          3052.32    3.497367E-12
         3052.702    3.533428E-12
         3053.086    3.569809E-12
          3053.47    3.606341E-12
         3053.851    3.642733E-12
         3054.235    3.679624E-12
         3054.617    3.716519E-12
         3054.999    3.753577E-12
         3055.383    3.790967E-12
         3055.764    3.828211E-12
         3056.146    3.865765E-12
         3056.531    3.903679E-12
         3056.915    3.941762E-12
         3057.296    3.979681E-12
          3057.68    4.018078E-12
         3058.063    4.056497E-12
         3058.446    4.095093E-12
         3058.831    4.134027E-12
         3059.212    4.172780E-12
