#  Table f850lp.tab  Fri 14:43:32 04-Sep-2009

#      WAVELENGTH      THROUGHPUT
#       angstroms                

         4091.057     1.341860E-7
         4091.468     1.341442E-7
         4091.879     1.341025E-7
          4092.29     1.340605E-7
         4092.701     1.340186E-7
         4093.112     1.339767E-7
         4093.523     1.339348E-7
         4093.937     1.338927E-7
         4094.348     1.338506E-7
         4094.757     1.338088E-7
         4095.169     1.337665E-7
          4095.58     1.337241E-7
         4095.991     1.336817E-7
         4096.403     1.336395E-7
         4096.814     1.335973E-7
         4097.226     1.335549E-7
         4097.642     1.335120E-7
         4098.052     1.334696E-7
         4098.466     1.334268E-7
         4098.875     1.333843E-7
         4099.289     1.333414E-7
         4099.701     1.332986E-7
         4100.113     1.332535E-7
         4100.523     1.332024E-7
         4100.935     1.331511E-7
         4101.349     1.330994E-7
         4101.761     1.330480E-7
         4102.173     1.329965E-7
         4102.585     1.329449E-7
         4102.998     1.328933E-7
          4103.41     1.328417E-7
         4103.822     1.327900E-7
         4104.234     1.327383E-7
         4104.646     1.326867E-7
         4105.061     1.326346E-7
         4105.471     1.325829E-7
         4105.884     1.325310E-7
         4106.296     1.324790E-7
         4106.709     1.324270E-7
         4107.122     1.323750E-7
         4107.534     1.323230E-7
         4107.947     1.322709E-7
         4108.359     1.322189E-7
         4108.774     1.321665E-7
         4109.187     1.321143E-7
           4109.6     1.320621E-7
         4110.013     1.320099E-7
         4110.426     1.319640E-7
         4110.839     1.319180E-7
          4111.25     1.318722E-7
         4111.663     1.318263E-7
         4112.076     1.317803E-7
         4112.491     1.317340E-7
         4112.904     1.316879E-7
         4113.318     1.316417E-7
         4113.731     1.315954E-7
         4114.144     1.315491E-7
         4114.558     1.315027E-7
         4114.971     1.314563E-7
         4115.384     1.314099E-7
         4115.798     1.313634E-7
         4116.213     1.313167E-7
         4116.625     1.312703E-7
         4117.039     1.312237E-7
         4117.452     1.311768E-7
         4117.866     1.311301E-7
         4118.279     1.310834E-7
         4118.693     1.310367E-7
         4119.107     1.309899E-7
         4119.521     1.309429E-7
         4119.937     1.308956E-7
         4120.351     1.308396E-7
