#  Table F098M.dat  Sat 15:28:37 03-Oct-2009

#      WAVELENGTH      THROUGHPUT
#       angstroms                

         8145.675     3.086035E-5
         8146.336     3.086462E-5
         8146.994     3.086886E-5
         8147.656     3.087313E-5
         8148.318     3.087740E-5
         8148.976     3.088163E-5
         8149.638     3.088591E-5
         8150.304     3.089021E-5
         8150.962     3.089445E-5
         8151.625     3.089873E-5
         8152.287     3.090301E-5
         8152.944     3.090726E-5
         8153.607     3.091155E-5
          8154.27     3.091582E-5
         8154.928     3.092006E-5
          8155.59     3.092435E-5
         8156.257     3.092866E-5
         8156.916     3.093290E-5
         8157.578     3.093720E-5
         8158.241     3.094149E-5
         8158.899     3.094575E-5
         8159.563     3.095004E-5
         8160.226     3.095432E-5
         8160.884     3.095857E-5
         8161.547     3.096286E-5
         8162.215     3.096719E-5
         8162.874     3.097145E-5
         8163.537     3.097574E-5
           8164.2     3.098003E-5
         8164.859     3.098430E-5
         8165.522     3.098859E-5
         8166.186     3.099289E-5
         8166.849     3.099718E-5
         8167.508     3.100145E-5
         8168.176     3.100578E-5
          8168.84     3.101008E-5
           8169.5     3.101435E-5
         8170.163     3.101864E-5
         8170.827     3.102295E-5
         8171.486     3.102722E-5
          8172.15     3.103152E-5
         8172.814     3.103581E-5
         8173.469     3.104004E-5
         8174.138     3.104439E-5
         8174.802     3.104868E-5
         8175.462     3.105295E-5
         8176.126     3.105727E-5
         8176.791     3.106157E-5
         8177.451     3.106585E-5
         8178.115     3.107015E-5
         8178.779     3.107445E-5
         8179.439     3.107873E-5
         8180.108     3.108308E-5
         8180.773     3.108739E-5
         8181.434     3.109168E-5
         8182.098     3.109600E-5
         8182.763     3.110031E-5
         8183.423     3.110460E-5
         8184.088     3.110891E-5
         8184.753     3.111324E-5
         8185.414     3.111753E-5
         8186.083     3.112187E-5
         8186.749     3.112619E-5
         8187.409     3.113050E-5
         8188.074     3.113481E-5
          8188.74     3.113913E-5
           8189.4     3.114343E-5
         8190.066     3.114776E-5
         8190.731     3.115208E-5
         8191.393     3.115639E-5
         8192.063     3.116073E-5
         8192.729     3.116507E-5
          8193.39     3.116938E-5
         8194.055     3.117369E-5
         8194.721     3.117803E-5
         8195.382     3.118233E-5
         8196.048     3.118667E-5
         8196.714     3.119100E-5
          8197.38     3.119534E-5
         8198.046     3.119967E-5
         8198.712     3.120402E-5
         8199.378     3.120835E-5
          8200.04     3.121264E-5
         8200.706     3.121655E-5
         8201.373     3.122049E-5
         8202.034     3.122437E-5
         8202.701     3.122830E-5
         8203.367     3.123223E-5
         8204.029     3.123613E-5
         8204.696     3.124006E-5
         8205.362     3.124398E-5
         8206.029     3.124791E-5
         8206.696     3.125185E-5
         8207.358     3.125574E-5
         8208.021     3.125965E-5
         8208.688     3.126358E-5
         8209.354     3.126751E-5
         8210.021     3.127145E-5
         8210.688     3.127538E-5
         8211.356     3.127933E-5
         8212.019     3.128324E-5
         8212.686     3.128718E-5
         8213.354     3.129112E-5
         8214.016     3.129502E-5
         8214.684     3.129897E-5
         8215.351     3.130292E-5
         8216.014     3.130683E-5
         8216.687     3.131080E-5
         8217.354     3.131474E-5
         8218.017     3.131866E-5
         8218.685     3.132260E-5
         8219.353     3.132656E-5
         8220.016     3.133047E-5
         8220.684     3.133443E-5
         8221.352     3.133838E-5
          8222.02     3.134233E-5
         8222.687     3.134628E-5
         8223.355     3.135023E-5
          8224.02     3.135415E-5
         8224.688     3.135810E-5
         8225.355     3.136207E-5
          8226.02     3.136598E-5
         8226.688     3.136994E-5
         8227.356     3.137389E-5
         8228.025     3.137786E-5
         8228.693     3.138182E-5
         8229.362     3.138577E-5
         8230.031     3.138966E-5
         8230.695     3.139212E-5
         8231.363     3.139459E-5
         8232.032     3.139706E-5
         8232.697     3.139952E-5
         8233.366     3.140198E-5
         8234.039     3.140446E-5
         8234.704     3.140692E-5
         8235.373     3.140938E-5
         8236.042     3.141186E-5
         8236.702     3.141430E-5
         8237.371     3.141677E-5
         8238.041     3.141925E-5
          8238.71     3.142172E-5
         8239.375     3.142417E-5
